"Geneid","Chr","Start","End","Strand","Length","CL1","CL2","CL3","LB1","LB2","LB3"
"PA1466","NC_002516.2",1595032,1595718,"-",687,938,1245,296,1047,1152,1053
"PA1467","NC_002516.2",1595827,1596798,"+",972,852,975,251,1160,1041,1003
"PA1468","NC_002516.2",1596889,1597305,"+",417,885,1099,265,1227,1242,1187
"PA1469","NC_002516.2",1597365,1598087,"+",723,841,851,320,1414,1606,1167
"PA1470","NC_002516.2",1598221,1598958,"+",738,913,768,391,1709,2154,1237
"PA1471","NC_002516.2",1599024,1599320,"-",297,0,0,0,0,0,2
"PA1472","NC_002516.2",1599428,1599982,"-",555,0,0,0,0,0,1
"PA1473","NC_002516.2",1600083,1600418,"-",336,493,406,182,769,881,629
"PA1474","NC_002516.2",1600415,1601893,"-",1479,4878,4866,2230,8107,11170,6519
"PA1475","NC_002516.2",1602179,1602880,"+",702,1527,1644,593,2493,2815,1689
"PA1476","NC_002516.2",1602877,1603548,"+",672,932,989,384,1576,2129,783
"PA1477","NC_002516.2",1603671,1604429,"+",759,2922,3801,1180,5011,5419,3516
"PA1478","NC_002516.2",1604426,1604602,"+",177,1329,1936,566,2262,2166,1896
"PA1479","NC_002516.2",1604599,1605087,"+",489,2245,3117,932,3990,3800,2927
"PA1480","NC_002516.2",1605088,1607061,"+",1974,3857,4670,1251,5254,5713,5157
"PA1481","NC_002516.2",1607065,1607607,"+",543,1908,1908,556,2110,2197,2219
"PA1482","NC_002516.2",1607604,1608071,"+",468,1640,1576,428,1631,1564,1786
"PA1483","NC_002516.2",1608068,1609291,"+",1224,980,903,258,1098,1266,1009
"PA1483a","NC_002516.2",1609318,1609734,"+",417,641,596,130,513,453,678
"PA1484","NC_002516.2",1609738,1610544,"-",807,1340,1632,329,1458,1120,1534
"PA1485","NC_002516.2",1610745,1612112,"+",1368,365,359,98,937,405,482
"PA1486","NC_002516.2",1612126,1613226,"+",1101,187,142,35,249,221,283
"PA1487","NC_002516.2",1613234,1614649,"-",1416,601,491,108,653,591,908
"PA1488","NC_002516.2",1614670,1615908,"-",1239,399,279,79,382,427,582
"PA1489","NC_002516.2",1615895,1617085,"-",1191,732,769,218,958,772,826
"PA1490","NC_002516.2",1617489,1618265,"-",777,530,615,156,812,382,442
"PA1491","NC_002516.2",1618612,1619847,"+",1236,6803,9469,2090,9283,9581,9459
"PA1492","NC_002516.2",1619907,1620263,"+",357,569,677,134,764,517,600
"PA1493","NC_002516.2",1620345,1621343,"-",999,2512,3669,809,2361,2253,1813
"PA1494","NC_002516.2",1621472,1623127,"-",1656,2001,2626,1058,4399,4918,2579
"PA1495","NC_002516.2",1623251,1623877,"-",627,181,144,66,445,522,338
"PA1496","NC_002516.2",1623864,1624715,"-",852,665,751,173,1293,1129,719
"PA1497","NC_002516.2",1624781,1625695,"-",915,69,74,18,225,110,71
"PA1498","NC_002516.2",1626062,1627495,"-",1434,359,278,96,745,338,315
"PA1499","NC_002516.2",1627497,1628762,"-",1266,346,286,103,856,455,336
"PA1500","NC_002516.2",1629059,1629949,"-",891,388,503,77,712,315,495
"PA1501","NC_002516.2",1630024,1630806,"-",783,1437,1618,390,1668,1475,1627
"PA1502","NC_002516.2",1630902,1632677,"-",1776,1119,1193,292,1655,1045,966
"PA1503","NC_002516.2",1633006,1633437,"+",432,223,183,51,337,187,172
"PA1504","NC_002516.2",1633842,1634492,"-",651,1379,1428,358,1638,1595,906
"PA1505","NC_002516.2",1634728,1635723,"+",996,4105,3441,1080,4317,4948,8132
"PA1506","NC_002516.2",1635908,1636237,"+",330,589,464,223,1119,1397,851
"PA1507","NC_002516.2",1636329,1637696,"-",1368,1573,1808,609,3685,3302,1547
"PA1508","NC_002516.2",1638379,1638639,"-",261,1535,2171,437,1840,1810,2578
"PA1509","NC_002516.2",1638652,1639794,"-",1143,1408,2289,494,2009,2058,2381
"PA1510","NC_002516.2",1639791,1641500,"-",1710,1174,1908,462,1918,1817,1991
"PA1511","NC_002516.2",1641497,1644025,"-",2529,2744,2631,729,4218,4226,2856
"PA1512","NC_002516.2",1644207,1644725,"-",519,349,388,104,671,384,292
"PA1513","NC_002516.2",1645211,1646488,"-",1278,1777,2360,471,2060,1784,2176
"PA1514","NC_002516.2",1646537,1647046,"-",510,940,1283,224,1147,888,991
"PA1515","NC_002516.2",1647101,1648099,"-",999,1688,1934,538,2447,2322,1947
"PA1516","NC_002516.2",1648117,1648632,"-",516,737,858,251,1112,803,708
"PA1517","NC_002516.2",1648629,1649555,"-",927,1207,1771,381,1753,1291,1047
"PA1518","NC_002516.2",1649928,1650308,"+",381,667,1028,205,1288,987,527
"PA1519","NC_002516.2",1650549,1651898,"-",1350,652,776,163,1422,730,612
"PA1520","NC_002516.2",1652273,1653052,"+",780,3598,4189,1365,5125,5706,4217
"PA1521","NC_002516.2",1653106,1654410,"-",1305,3507,3846,1335,5096,6497,4543
"PA1522","NC_002516.2",1654480,1655319,"-",840,1867,1880,637,2818,3264,2433
"PA1523","NC_002516.2",1655346,1657745,"-",2400,3847,4893,1350,6861,7220,5287
"PA1524","NC_002516.2",1657738,1659192,"-",1455,1623,2102,501,3013,2839,1920
"PA1525","NC_002516.2",1659413,1660546,"-",1134,2096,2900,545,3273,2674,2546
"PA1526","NC_002516.2",1660727,1661386,"+",660,6297,6739,2195,8898,11213,4774
"PA1527","NC_002516.2",1661412,1664900,"+",3489,8555,10289,2233,10012,10198,9103
"PA1528","NC_002516.2",1665065,1665934,"+",870,8530,9170,3258,12871,15911,8651
"PA1529","NC_002516.2",1666025,1668409,"+",2385,4484,4628,1366,6445,6862,5513
"PA1530","NC_002516.2",1668455,1668832,"+",378,2338,3371,821,3354,3766,3671
"PA1530.1","NC_002516.2",1668840,1669799,"+",960,1626,2147,594,2737,2899,2502
"PA1531","NC_002516.2",1669086,1669952,"-",867,835,827,311,1533,1336,1056
"PA1532","NC_002516.2",1669989,1672034,"+",2046,4964,6852,1615,5886,6366,5750
"PA1533","NC_002516.2",1672080,1672406,"+",327,5033,6109,1192,4894,5203,9089
"PA1534","NC_002516.2",1672485,1673081,"+",597,1676,2026,453,1433,1484,1691
"PA1535","NC_002516.2",1673204,1674352,"+",1149,2823,3432,729,3878,4089,6214
"PA1536","NC_002516.2",1674365,1674904,"-",540,1713,3048,455,2327,2409,3740
"PA1537","NC_002516.2",1674978,1675865,"-",888,745,884,250,1194,1143,999
"PA1538","NC_002516.2",1675862,1677445,"-",1584,1282,1589,354,2605,1941,1587
"PA1539","NC_002516.2",1677559,1678407,"+",849,2402,3111,1418,4957,7390,2040
"PA1540","NC_002516.2",1678261,1678590,"-",330,2550,2040,1832,5237,8911,1793
"PA1541","NC_002516.2",1678584,1678952,"-",369,6808,7050,5577,19271,32057,5607
"PA1542","NC_002516.2",1679361,1680197,"-",837,1923,2619,523,3039,2847,1788
"PA1543","NC_002516.2",1680437,1680985,"-",549,1475,1917,591,2099,2648,1661
"PA1544","NC_002516.2",1681071,1681805,"-",735,14708,23031,7097,25385,37637,15221
"PA1545","NC_002516.2",1682051,1682518,"+",468,5320,8487,2743,15385,17127,5999
"PA1546","NC_002516.2",1682567,1683949,"-",1383,13881,26560,8775,34662,40349,18117
"PA1547","NC_002516.2",1684077,1684760,"-",684,939,1287,384,1388,1555,1124
"PA1548","NC_002516.2",1684753,1684962,"-",210,1545,2145,540,2559,2695,1602
"PA1549","NC_002516.2",1684941,1687376,"-",2436,3680,4212,1545,5891,6913,3507
"PA1550","NC_002516.2",1687373,1687912,"-",540,7168,8774,3918,16073,17417,8112
"PA1551","NC_002516.2",1687924,1689339,"-",1416,19021,28823,11508,48899,54563,18832
"PA1552","NC_002516.2",1689557,1690513,"-",957,8967,14006,3095,8940,9181,16412
"PA1552.1","NC_002516.2",1690510,1690695,"-",186,2881,5577,1076,2907,2955,6391
"PA1553","NC_002516.2",1690701,1691312,"-",612,5883,9774,2237,7064,6711,12799
"PA1554","NC_002516.2",1691327,1692754,"-",1428,8812,16520,3213,11717,12802,10294
"PA1555","NC_002516.2",1693119,1694045,"-",927,8435,14275,5752,26656,33831,3547
"PA1555.1","NC_002516.2",1694042,1694227,"-",186,3577,6850,2803,12690,15895,1868
"PA1556","NC_002516.2",1694233,1694841,"-",609,6917,12238,5915,26369,32612,3553
"PA1557","NC_002516.2",1694852,1696279,"-",1428,12503,27252,8640,44642,55100,9130
"PA1558","NC_002516.2",1696467,1697099,"+",633,528,523,166,974,1038,498
"PA1559","NC_002516.2",1697188,1698344,"+",1157,12004,18066,4724,8358,9869,10112
"PA1561","NC_002516.2",1698382,1699947,"-",1566,10055,13758,3697,13001,16405,10136
"PA1562","NC_002516.2",1700320,1703052,"-",2733,38761,48589,13798,51552,72894,70383
"PA1563","NC_002516.2",1703379,1704437,"+",1059,1793,1917,698,3272,3539,2519
"PA1564","NC_002516.2",1704522,1704761,"+",240,1973,2353,490,2983,2665,1448
"PA1565","NC_002516.2",1704793,1706103,"-",1311,1239,1472,368,1885,1648,876
"PA1566","NC_002516.2",1706172,1707536,"-",1365,194,172,76,380,312,182
"PA1567","NC_002516.2",1708004,1709401,"-",1398,572,489,232,1495,1494,616
"PA1568","NC_002516.2",1709412,1709765,"-",354,170,162,56,288,244,170
"PA1569","NC_002516.2",1709821,1711191,"-",1371,433,470,96,813,366,296
"PA1570","NC_002516.2",1711569,1712450,"+",882,1010,1129,363,1536,1534,1158
"PA1571","NC_002516.2",1712519,1712698,"-",180,9699,11342,2635,27511,21098,24359
"PA1572","NC_002516.2",1712908,1714053,"+",1146,3548,2842,1374,4482,6729,4342
"PA1573","NC_002516.2",1714064,1714660,"+",597,767,656,238,883,1072,933
"PA1574","NC_002516.2",1714778,1715059,"-",282,1074,1387,246,1634,1514,1124
"PA1575","NC_002516.2",1715154,1715705,"-",552,1821,1729,424,2822,2616,2212
"PA1576","NC_002516.2",1715809,1716675,"+",867,1461,1470,629,2433,2953,2464
"PA1577","NC_002516.2",1716682,1717023,"-",342,702,1066,227,898,920,1094
"PA1578","NC_002516.2",1717139,1717894,"+",756,651,530,211,772,1064,1369
"PA1578a","NC_002516.2",1717998,1718252,"+",255,446,446,110,599,525,412
"PA1579","NC_002516.2",1718386,1718994,"+",609,6986,12000,2398,7055,8336,5480
"PA1580","NC_002516.2",1719109,1720395,"-",1287,8998,15861,3048,7885,10369,11997
"PA1581","NC_002516.2",1720744,1721130,"+",387,14449,25123,5561,12208,18504,11545
"PA1582","NC_002516.2",1721124,1721492,"+",369,6528,12525,2783,5021,7180,4822
"PA1583","NC_002516.2",1721496,1723268,"+",1773,20356,30328,7287,16602,19105,26427
"PA1584","NC_002516.2",1723280,1723987,"+",708,9220,16347,2840,6656,7605,11074
"PA1585","NC_002516.2",1724244,1727075,"+",2832,26828,47104,7479,17155,18764,29744
"PA1586","NC_002516.2",1727118,1728347,"+",1230,8111,14759,2133,5771,6526,9485
"PA1587","NC_002516.2",1728416,1729852,"+",1437,18412,29549,5557,14390,17586,24831
"PA1588","NC_002516.2",1730181,1731347,"+",1167,18034,33835,5665,11785,15166,15755
"PA1589","NC_002516.2",1731347,1732234,"+",888,13558,23422,4183,8807,10725,15462
"PA1590","NC_002516.2",1732545,1733858,"+",1314,6265,6755,2000,7221,8808,6773
"PA1591","NC_002516.2",1734004,1734768,"+",765,585,908,143,867,422,532
"PA1592","NC_002516.2",1734827,1735063,"-",237,17289,10028,3144,22531,22707,11976
"PA1593","NC_002516.2",1735236,1735709,"+",474,727,1058,213,1064,1055,646
"PA1594","NC_002516.2",1735706,1736152,"+",447,1332,1573,367,2090,1995,2703
"PA1595","NC_002516.2",1736189,1737418,"+",1230,624,654,156,977,819,775
"PA1596","NC_002516.2",1737536,1739440,"+",1905,14463,26614,3670,9119,9872,13576
"PA1597","NC_002516.2",1739508,1740233,"+",726,988,1097,354,1266,1494,1332
"PA1598","NC_002516.2",1740244,1741065,"-",822,650,738,253,900,954,833
"PA1599","NC_002516.2",1741146,1741928,"+",783,439,344,149,659,765,610
"PA1600","NC_002516.2",1741939,1743240,"-",1302,406,457,115,573,534,565
"PA1601","NC_002516.2",1743290,1745536,"-",2247,586,608,171,1002,1039,909
"PA1602","NC_002516.2",1745533,1746024,"-",492,242,316,50,540,334,259
"PA1603","NC_002516.2",1746231,1746653,"-",423,572,512,167,1109,1169,520
"PA1604","NC_002516.2",1746692,1747597,"-",906,2343,2743,917,4507,5025,2962
"PA1605","NC_002516.2",1747596,1748630,"+",1035,3071,3402,830,4135,3969,3517
"PA1606","NC_002516.2",1748699,1749175,"+",477,328,457,81,594,234,283
"PA1607","NC_002516.2",1749349,1749789,"-",441,948,1416,338,1374,1489,949
"PA1608","NC_002516.2",1749895,1751520,"-",1626,1379,1640,336,2041,1501,1495
"PA1609","NC_002516.2",1751674,1752891,"-",1218,8333,12408,2753,9125,11630,9830
"PA1610","NC_002516.2",1752903,1753418,"-",516,6243,9041,1957,7557,8159,5587
"PA1611","NC_002516.2",1753607,1755562,"-",1956,4655,5186,1118,5685,4901,5079
"PA1612","NC_002516.2",1755559,1756317,"-",759,403,356,99,733,364,486
"PA1613","NC_002516.2",1756489,1758597,"-",2109,3131,3538,798,4337,3694,3614
"PA1614","NC_002516.2",1758748,1759770,"+",1023,5147,6791,1791,6831,8189,5379
"PA1615","NC_002516.2",1759784,1760125,"+",342,1228,2102,499,1841,2087,2205
"PA1616","NC_002516.2",1760122,1760586,"+",465,850,837,326,1118,1401,1298
"PA1617","NC_002516.2",1760713,1762380,"+",1668,6755,5766,1068,5419,5916,12658
"PA1618","NC_002516.2",1762433,1762870,"+",438,1830,1588,284,1303,1307,3376
"PA1619","NC_002516.2",1762928,1763752,"+",825,326,317,86,508,447,418
"PA1620","NC_002516.2",1763793,1764434,"+",642,87,103,24,192,91,59
"PA1621","NC_002516.2",1764536,1765348,"+",813,4971,4403,1444,7572,9337,10291
"PA1622","NC_002516.2",1765345,1766205,"+",861,2390,2180,768,3849,4275,6666
"PA1623","NC_002516.2",1766285,1766947,"+",663,4361,5578,1614,5138,5968,6325
"PA1624","NC_002516.2",1766956,1767762,"+",807,1489,1138,628,1555,2287,2902
"PA1625","NC_002516.2",1767928,1768995,"+",1068,1706,1586,509,1916,2274,1469
"PA1626","NC_002516.2",1769047,1770321,"-",1275,223,201,82,366,268,221
"PA1627","NC_002516.2",1770337,1770984,"-",648,586,461,234,1179,1269,746
"PA1628","NC_002516.2",1771122,1772651,"-",1530,321,298,85,514,468,403
"PA1629","NC_002516.2",1772655,1773440,"-",786,282,306,72,670,458,356
"PA1630","NC_002516.2",1773682,1774548,"+",867,1247,1777,343,1926,1389,1517
"PA1631","NC_002516.2",1774603,1775757,"+",1155,971,1292,267,1362,803,1014
"PA1632","NC_002516.2",1775849,1776034,"+",186,111,196,25,289,86,156
"PA1633","NC_002516.2",1776045,1777739,"+",1695,562,717,129,1182,469,1177
"PA1634","NC_002516.2",1777751,1779823,"+",2073,541,588,131,923,481,1640
"PA1635","NC_002516.2",1779877,1780428,"+",552,130,104,23,179,89,578
"PA1636","NC_002516.2",1780536,1783193,"+",2658,999,845,247,1412,1375,1931
"PA1637","NC_002516.2",1783294,1783986,"+",693,408,499,116,586,615,733
"PA1638","NC_002516.2",1784108,1785016,"+",909,462,460,121,617,381,491
"PA1639","NC_002516.2",1785127,1785732,"+",606,683,837,166,646,606,813
"PA1640","NC_002516.2",1785736,1786773,"-",1038,2345,3046,721,2801,2630,2422
"PA1641","NC_002516.2",1786888,1787166,"+",279,1327,1528,465,2409,2372,2533
"PA1642","NC_002516.2",1787250,1788284,"+",1035,4864,5479,2310,8883,10413,5597
"PA1643","NC_002516.2",1788284,1789393,"+",1110,4138,4662,1709,6096,7797,5835
"PA1643a","NC_002516.2",1789372,1789719,"-",348,2292,2324,879,3920,5199,4003
"PA1644","NC_002516.2",1789857,1790465,"+",609,1624,1852,663,2526,3148,1431
"PA1645","NC_002516.2",1790472,1790879,"-",408,401,304,214,916,1551,577
"PA1646","NC_002516.2",1791080,1793038,"+",1959,1507,1485,436,2266,1848,3573
"PA1647","NC_002516.2",1793019,1794740,"-",1722,1467,1853,511,2348,1861,2845
"PA1648","NC_002516.2",1794883,1795887,"-",1005,855,1326,308,1405,1258,1753
"PA1649","NC_002516.2",1796138,1796899,"+",762,924,890,413,1891,2118,1294
"PA1650","NC_002516.2",1797058,1797951,"+",894,1909,1918,569,2613,2601,2152
"PA1651","NC_002516.2",1797958,1799154,"-",1197,923,862,217,896,662,1077
"PA1652","NC_002516.2",1799385,1800020,"+",636,662,810,237,779,712,736
"PA1653","NC_002516.2",1800071,1800547,"-",477,530,698,216,858,844,445
"PA1654","NC_002516.2",1800629,1801795,"+",1167,1099,1273,416,1345,1288,985
"PA1655","NC_002516.2",1801851,1802453,"+",603,972,1530,330,955,906,1216
"PA1656","NC_002516.2",1803626,1805182,"+",1557,25960,33742,10311,38096,47889,24172
"PA1657","NC_002516.2",1805218,1805724,"+",507,1245,2188,510,2396,2619,1419
"PA1658","NC_002516.2",1805753,1807228,"+",1476,2814,4227,833,4222,3955,3348
"PA1659","NC_002516.2",1807241,1807648,"+",408,700,879,198,1042,904,725
"PA1660","NC_002516.2",1808193,1809773,"+",1581,1499,2053,432,2279,1697,1453
"PA1661","NC_002516.2",1809737,1810744,"+",1008,915,1319,291,1564,1092,1111
"PA1662","NC_002516.2",1810751,1813384,"+",2634,1531,1401,467,2434,2282,2120
"PA1663","NC_002516.2",1813395,1814906,"+",1512,503,622,134,883,532,459
"PA1664","NC_002516.2",1814995,1815135,"+",141,73,115,31,175,67,83
"PA1665","NC_002516.2",1815153,1816346,"+",1194,263,334,80,499,248,292
"PA1666","NC_002516.2",1816352,1816858,"+",507,389,562,88,583,271,300
"PA1667","NC_002516.2",1816855,1818186,"+",1332,2196,3113,708,2909,2454,2472
"PA1668","NC_002516.2",1818189,1819058,"+",870,381,493,109,629,223,313
"PA1669","NC_002516.2",1819074,1822601,"+",3528,1778,2252,456,2691,1769,1784
"PA1670","NC_002516.2",1822601,1823329,"+",729,278,259,86,348,438,325
"PA1671","NC_002516.2",1823326,1824315,"+",990,988,764,313,1108,1386,823
"PA1672","NC_002516.2",1824343,1824723,"-",381,2578,2969,793,2662,3073,2269
"PA1673","NC_002516.2",1824969,1825430,"+",462,8360,19072,7063,29078,35455,11009
"PA1674","NC_002516.2",1825495,1826040,"-",546,4619,8259,2306,6962,8908,3127
"PA1675","NC_002516.2",1826118,1826675,"-",558,1910,2435,705,2269,2620,1686
"PA1676","NC_002516.2",1826732,1827052,"-",321,871,943,336,1351,1599,895
"PA1677","NC_002516.2",1827225,1827821,"-",597,2622,2652,1115,4250,5515,3102
"PA1678","NC_002516.2",1827992,1828906,"+",915,4403,5621,1476,4781,5534,5480
"PA1679","NC_002516.2",1828931,1829710,"-",780,2772,3214,824,2793,3125,3652
"PA1680","NC_002516.2",1829788,1830771,"-",984,557,550,139,678,649,464
"PA1681","NC_002516.2",1830879,1831970,"+",1092,2102,2298,750,2964,3709,2575
"PA1682","NC_002516.2",1832014,1833165,"+",1152,977,872,277,1638,1241,1066
"PA1683","NC_002516.2",1833162,1833779,"+",618,2041,2012,573,2813,2672,2192
"PA1684","NC_002516.2",1833776,1834321,"+",546,1696,1878,537,2254,2427,1742
"PA1685","NC_002516.2",1834393,1835142,"+",750,1718,2169,554,2478,2663,2683
"PA1686","NC_002516.2",1835325,1836218,"-",894,1498,1042,646,2676,3574,2179
"PA1687","NC_002516.2",1836367,1837227,"+",861,1378,1761,392,2130,1673,1440
"PA1688","NC_002516.2",1837388,1838257,"+",870,1036,1056,245,1362,1009,1144
"PA1689","NC_002516.2",1838260,1840362,"+",2103,3337,4057,678,3095,2414,4544
"PA1690","NC_002516.2",1840468,1841517,"-",1050,570,918,102,935,323,366
"PA1691","NC_002516.2",1841514,1842302,"-",789,387,554,76,505,141,142
"PA1692","NC_002516.2",1842299,1842565,"-",267,436,664,93,389,158,207
"PA1693","NC_002516.2",1842568,1843221,"-",654,761,1212,165,802,202,243
"PA1694","NC_002516.2",1843218,1844147,"-",930,600,965,138,601,158,188
"PA1695","NC_002516.2",1844144,1845253,"-",1110,319,432,81,229,104,115
"PA1696","NC_002516.2",1845241,1845717,"-",477,309,419,77,154,83,64
"PA1697","NC_002516.2",1845714,1847036,"-",1323,1446,2004,380,493,203,152
"PA1698","NC_002516.2",1847227,1848093,"+",867,949,1350,232,350,100,97
"PA1699","NC_002516.2",1848074,1848352,"+",279,619,1036,150,342,110,97
"PA1700","NC_002516.2",1848339,1848710,"+",372,462,724,107,273,114,103
"PA1701","NC_002516.2",1848707,1849072,"+",366,87,97,17,25,19,8
"PA1702","NC_002516.2",1849077,1849406,"+",330,147,187,45,80,42,29
"PA1703","NC_002516.2",1849403,1851523,"+",2121,2240,3207,535,2292,1395,1223
"PA1704","NC_002516.2",1851520,1851954,"+",435,446,545,112,421,403,330
"PA1705","NC_002516.2",1851982,1852278,"+",297,572,462,137,103,65,30
"PA1706","NC_002516.2",1852288,1853172,"+",885,3763,6015,851,878,425,529
"PA1707","NC_002516.2",1853181,1853684,"+",504,1961,3484,454,422,139,153
"PA1708","NC_002516.2",1853665,1854837,"+",1173,7371,12071,1924,915,731,822
"PA1709","NC_002516.2",1854849,1855736,"+",888,5147,6899,1474,1487,1511,862
"PA1710","NC_002516.2",1855862,1856299,"+",438,7899,11241,1837,1399,1007,1324
"PA1711","NC_002516.2",1856308,1856553,"+",246,1541,1566,401,214,202,247
"PA1712","NC_002516.2",1856562,1856975,"+",414,1755,2130,491,277,176,285
"PA1713","NC_002516.2",1857273,1858109,"+",837,6018,8760,1495,2912,2767,1488
"PA1714","NC_002516.2",1858207,1859037,"+",831,6917,8163,1828,1583,1591,1255
"PA1715","NC_002516.2",1859071,1859493,"+",423,1095,1331,254,229,168,161
"PA1716","NC_002516.2",1859493,1861295,"+",1803,2502,3766,672,1560,1179,944
"PA1717","NC_002516.2",1861297,1862595,"+",1299,667,827,192,506,417,312
"PA1718","NC_002516.2",1862558,1862761,"+",204,359,529,91,196,133,116
"PA1719","NC_002516.2",1862764,1863021,"+",258,640,1137,167,244,144,111
"PA1720","NC_002516.2",1863024,1863371,"+",348,560,856,157,264,219,168
"PA1721","NC_002516.2",1863368,1863799,"+",432,299,466,74,162,138,126
"PA1722","NC_002516.2",1863799,1864137,"+",339,627,1226,177,415,291,254
"PA1723","NC_002516.2",1864134,1864880,"+",747,1377,2559,353,1020,648,600
"PA1724","NC_002516.2",1864889,1865515,"+",627,219,198,57,207,71,69
"PA1725","NC_002516.2",1865494,1866138,"+",645,461,714,127,397,205,206
"PA1726","NC_002516.2",1866241,1868535,"-",2295,2896,3682,945,5682,5213,3860
"PA1727","NC_002516.2",1868706,1870763,"-",2058,6824,7086,2249,9129,12664,4024
"PA1728","NC_002516.2",1871116,1871457,"+",342,42693,52128,16032,99620,116120,78220
"PA1729","NC_002516.2",1871555,1872202,"+",648,4332,3640,2057,6962,10776,5662
"PA1730","NC_002516.2",1872602,1874014,"+",1413,13399,15002,4103,22240,28122,9038
"PA1731","NC_002516.2",1874017,1874970,"+",954,2658,2577,964,5769,7862,2961
"PA1732","NC_002516.2",1874967,1875767,"+",801,1804,1459,917,4900,7357,2583
"PA1733","NC_002516.2",1875849,1876580,"+",732,3762,3936,1673,8387,10404,6341
"PA1734","NC_002516.2",1876588,1877409,"-",822,882,738,442,1831,2584,1339
"PA1735","NC_002516.2",1877522,1878409,"+",888,1916,1974,465,3380,3298,3123
"PA1736","NC_002516.2",1878980,1880185,"+",1206,1167,1225,263,1444,1219,1499
"PA1737","NC_002516.2",1880199,1882343,"+",2145,3287,3489,727,3774,3432,5277
"PA1738","NC_002516.2",1882595,1883509,"-",915,400,377,119,672,517,439
"PA1739","NC_002516.2",1883661,1884632,"+",972,468,722,136,787,439,655
"PA1740","NC_002516.2",1884655,1885653,"+",999,826,694,248,948,1417,726
"PA1741","NC_002516.2",1885662,1886033,"-",372,2599,2198,813,3334,4285,2171
"PA1742","NC_002516.2",1886278,1887000,"+",723,34358,41393,8794,36634,39884,39272
"PA1743","NC_002516.2",1887058,1887297,"-",240,103,139,26,204,149,149
"PA1744","NC_002516.2",1887325,1887543,"-",219,206,249,45,367,240,253
"PA1745","NC_002516.2",1887698,1888186,"-",489,1472,1578,498,2500,2893,1674
"PA1746","NC_002516.2",1888407,1888913,"+",507,6124,9030,5195,21650,31777,4501
"PA1747","NC_002516.2",1888985,1889173,"-",189,1154,2380,925,3614,4456,916
"PA1748","NC_002516.2",1889323,1890012,"-",690,2374,3751,1260,4436,5439,1895
"PA1749","NC_002516.2",1890196,1890681,"+",486,12843,14519,2956,17207,16750,14339
"PA1750","NC_002516.2",1890739,1891815,"-",1077,4785,7844,1421,4983,5464,4088
"PA1751","NC_002516.2",1892133,1892510,"+",378,1886,2132,641,2748,2928,2824
"PA1752","NC_002516.2",1892510,1893457,"+",948,3911,4037,1164,4788,5404,5146
"PA1753","NC_002516.2",1893620,1894117,"+",498,10458,12187,3115,13644,15256,11633
"PA1754","NC_002516.2",1894249,1895223,"+",975,8099,11493,2586,8737,10969,9683
"PA1755","NC_002516.2",1895280,1895627,"-",348,878,956,148,1338,968,1174
"PA1756","NC_002516.2",1895692,1896495,"-",804,1259,2031,341,1680,1238,1311
"PA1757","NC_002516.2",1896630,1897247,"+",618,1326,2137,323,1542,1055,937
"PA1758","NC_002516.2",1897290,1898651,"-",1362,2800,2734,780,3771,3968,3242
"PA1759","NC_002516.2",1898816,1901521,"+",2706,12620,12409,3263,14312,15705,14318
"PA1760","NC_002516.2",1901524,1904247,"+",2724,6239,7000,1379,6374,6636,8793
"PA1761","NC_002516.2",1904479,1904916,"+",438,1721,2068,390,1435,1513,2379
"PA1762","NC_002516.2",1904995,1905756,"+",762,1137,1541,240,1211,825,1742
"PA1763","NC_002516.2",1905797,1906822,"+",1026,1319,1445,355,1895,1588,1857
"PA1764","NC_002516.2",1906842,1908440,"+",1599,1267,1538,298,2021,1465,1508
"PA1765","NC_002516.2",1908454,1909641,"+",1188,1977,2518,612,3659,3267,3029
"PA1766","NC_002516.2",1909698,1910681,"-",984,3263,5023,827,2835,2737,4622
"PA1767","NC_002516.2",1910685,1912211,"-",1527,5284,9268,1714,5202,5634,6496
"PA1768","NC_002516.2",1912217,1912756,"-",540,2256,3609,823,2600,3264,2057
"PA1769","NC_002516.2",1913047,1913871,"-",825,12849,19809,4469,15455,18414,13911
"PA1770","NC_002516.2",1914037,1916412,"+",2376,28378,41073,9725,30216,34381,36228
"PA1771","NC_002516.2",1916482,1917492,"+",1011,385,460,109,624,278,281
"PA1772","NC_002516.2",1917599,1918087,"+",489,6908,11387,2413,8409,10960,10167
"PA1773","NC_002516.2",1918275,1919273,"+",999,4881,6522,1498,5003,6015,5287
"PA1774","NC_002516.2",1919322,1919576,"+",255,5913,7957,1798,5716,7539,5820
"PA1775","NC_002516.2",1919579,1920403,"+",825,16768,19515,4509,18503,19293,19872
"PA1776","NC_002516.2",1920568,1921065,"+",498,62760,94680,24058,72672,88869,51545
"PA1777","NC_002516.2",1921174,1922226,"+",1053,246976,470162,110819,237750,331212,264850
"PA1778","NC_002516.2",1922295,1923032,"-",738,7869,5766,2661,14615,16488,8491
"PA1779","NC_002516.2",1923044,1925770,"-",2727,833,988,208,1513,890,672
"PA1780","NC_002516.2",1925797,1926123,"-",327,166,154,27,286,97,102
"PA1781","NC_002516.2",1926176,1928626,"-",2451,1170,1624,296,2122,1105,1350
"PA1781.1","NC_002516.2",1928666,1928886,"-",221,114,180,22,282,108,79
"PA1782","NC_002516.2",1928894,1930489,"-",1596,461,340,86,680,404,299
"PA1783","NC_002516.2",1930564,1931775,"-",1212,243,225,71,515,393,211
